This summary last updated,Type of Data,City,State,Data is freely available online,Data is machine readable,Context is provided,Available in bulk,Up-to-date,Incident-level data,In progress
,公交线路信息,上海市,,Yes,Yes,Yes,Yes,Yes,No,
,公交站信息,上海市,,Yes,Yes,Yes,Yes,Yes,Yes,
,出租汽车基础数据,上海市,,,,,,,,
,客运站信息,上海市,,Yes,No,Yes,Yes,Yes,Yes,
,客运线路信息,上海市,,,,,,,,
,客运票价信息,上海市,,,,,,,,
,高速公路路线信息,上海市,,Yes,No,No,Unsure,Yes,No,
,高速公路服务区信息,上海市,,Yes,No,No,Unsure,Yes,No,
,普通公路路线信息,上海市,,Yes,No,No,Unsure,Yes,No,
,客运站信息,北京市,,Yes,No,Yes,No,Yes,No,
,高速公路路线信息,北京市,,Yes,No,Yes,No,Yes,No,
,普通公路路线信息,北京市,,Yes,No,Yes,No,Yes,No,
,客运线路信息,贵阳市,,Yes,No,Yes,Yes,Yes,Yes,
,客运站信息,贵阳市,,Yes,No,Yes,No,Yes,Yes,
,客运票价信息,贵阳市,,Yes,Yes,Yes,Yes,Yes,Yes,
,公交线路信息,深圳市,,Yes,No,Yes,Yes,Yes,Yes,
,客运站信息,深圳市,,Yes,No,Yes,Yes,Yes,Yes,
,客运站信息,哈尔滨市,,Yes,No,Yes,No,Yes,Yes,
,客运票价信息,哈尔滨市,,Yes,No,Yes,No,Yes,Yes,
,公交线路信息,济南市,,Yes,No,Yes,Unsure,Yes,No,
,出租汽车基础数据,济南市,,Yes,Yes,No,No,Yes,Yes,
,客运线路信息,济南市,,Yes,No,Yes,Unsure,Yes,Yes,
,客运站信息,济南市,,Yes,No,Yes,Unsure,Yes,Yes,
,普通公路路线信息,济南市,,Yes,No,Yes,Unsure,Yes,No,
,客运站信息,广州市,,Yes,No,Yes,Yes,Yes,No,
,高速公路服务区信息,广州市,,Yes,No,Yes,Unsure,Yes,No,
,出租汽车基础数据,贵州省,,Yes,No,No,Yes,Yes,No,
,公交线路信息,杭州市,,Yes,No,Yes,Yes,Yes,No,
,客运站信息,杭州市,,Yes,No,Yes,Yes,Yes,No,
,客运票价信息,杭州市,,Yes,Yes,Yes,Yes,Yes,No,
,客运线路信息,吉林省,,Yes,No,Yes,No,Yes,No,
,客运站信息,吉林省,,Yes,Yes,Yes,No,Yes,No,
,客运票价信息,吉林省,,Yes,Yes,Yes,No,Yes,No,
,高速公路服务区信息,吉林省,,Yes,No,No,No,Yes,No,
,公交线路信息,长春市,,Yes,Yes,Yes,No,Yes,No,
,公交站信息,长春市,,Yes,No,No,Yes,Yes,No,
,出租汽车基础数据,长春市,,Yes,No,Yes,Yes,Yes,No,
,公交线路信息,松原市,,Yes,No,No,Yes,Yes,No,
,公交站信息,松原市,,Yes,No,No,Yes,Yes,No,
,客运线路信息,江西省,,Yes,No,Yes,No,Yes,No,
,客运站信息,江西省,,Yes,No,Yes,No,Yes,No,
,客运票价信息,江西省,,Yes,Yes,Yes,No,Yes,No,
,客运线路信息,山西省,,Yes,No,Yes,No,Yes,No,
,客运站信息,山西省,,Yes,No,Yes,No,Yes,No,
,客运票价信息,山西省,,Yes,Yes,Yes,No,Yes,No,
,客运线路信息,湖北省,,Yes,No,Yes,No,Yes,No,
,客运站信息,湖北省,,Yes,No,Yes,No,Yes,No,
,客运票价信息,湖北省,,Yes,Yes,Yes,No,Yes,No,
,出租汽车基础数据,广东省,,Yes,No,Yes,No,Yes,No,
,客运线路信息,广东省,,Yes,No,No,No,Yes,No,
,客运站信息,广东省,,Yes,No,Yes,No,Yes,No,
,客运票价信息,广东省,,Yes,Yes,No,No,Yes,No,
,高速公路路线信息,广东省,,Yes,No,No,No,Yes,No,
,高速公路服务区信息,广东省,,Yes,No,No,No,Yes,No,
,客运线路信息,河南省,,Yes,Yes,Yes,No,Yes,No,
,客运站信息,河南省,,Yes,No,No,No,Yes,No,
,客运票价信息,河南省,,Yes,Yes,Yes,No,Yes,No,
,普通公路路线信息,河南省,,Yes,No,No,No,Yes,No,
,公交线路信息,重庆市,,Yes,No,Yes,No,Yes,No,
,公交站信息,重庆市,,Yes,No,No,No,Yes,No,
,公交站信息,重庆市,,Yes,No,No,No,Yes,No,
,公交站信息,三亚市,,Yes,No,No,No,Yes,No,
,出租汽车基础数据,三亚市,,Yes,No,Yes,No,Yes,No,
,客运站信息,四川省,,Yes,No,Yes,No,Yes,No,
,普通公路路线信息,四川省,,Yes,No,No,No,Yes,No,
,高速公路路线信息,辽宁省,,Yes,Yes,No,No,Yes,No,
,高速公路服务区信息,辽宁省,,Yes,No,No,No,Yes,No,
,普通公路路线信息,辽宁省,,Yes,Yes,No,No,Yes,No,
,高速公路路线信息,河北省,,Yes,Yes,No,No,Yes,No,
,高速公路服务区信息,河北省,,Yes,No,No,No,Yes,No,
,普通公路路线信息,河北省,,Yes,Yes,No,No,Yes,No,
,高速公路路线信息,贵州省,,Yes,No,No,No,Yes,No,
,公交线路信息,北京市,,Yes,No,No,No,Yes,No,
,公交站信息,北京市,,Yes,No,No,No,Yes,No,
,客运线路信息,北京市,,Yes,No,No,No,Yes,No,
,客运票价信息,北京市,,Yes,Yes,No,No,Yes,No,
,高速公路路线信息,北京市,,Yes,No,No,No,Yes,No,
,高速公路服务区信息,北京市,,Yes,No,No,No,Yes,No,
,普通公路路线信息,北京市,,Yes,No,No,No,Yes,No,
,公交线路信息,天津市,,Yes,No,No,No,Yes,No,
,公交站信息,天津市,,Yes,No,No,No,Yes,No,
,出租汽车基础数据,天津市,,Yes,No,Yes,No,Yes,No,
,客运线路信息,天津市,,Yes,No,No,No,Yes,No,
,高速公路路线信息,天津市,,Yes,No,No,No,Yes,No,
,普通公路路线信息,天津市,,Yes,No,No,No,Yes,No,